"configuration","problem","model","data_file","status","time","failures","restarts","nSolutions","solveTime","optTime","variables","baseMem","processFlatZincTime","flatIntConstraints","peakMem","randomSeed","run","flatTime","method","peakDepth","propagations","flatIntVars","solutions","flatBoolVars","backjumps","initTime","trailMem","boolVariables","evaluatedReifiedConstraints","nogoods","flatBoolConstraints","objective","intVars","paths","propagators","nodes"
"picat_sat","jsswet","jsswet.mzn","jsswet_la30.dzn","OPTIMAL_SOLUTION","356.2710240690503","","","9","355.9271386490436","","","","0.13141342000669987","4042","","","raw","0.212472","minimize","","","261","","3800","","","","","3800","","1900","278","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la15.dzn","SATISFIED","600.1096795339836","","","48","","","","","","147","","","raw","0.058161","minimize","","","161","","","","","","","","","","5360","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la16.dzn","OPTIMAL_SOLUTION","0.3679579760064371","286","21","19","0.251","0.251","38675","0.0","","132","0.0","1630369323","raw","0.051691","minimize","261","502761","131","","","4415","0.009","0.94","38541","","286","","49","132","0","1054","8683"
"gecode","jsswet","jsswet.mzn","jsswet_ft10.dzn","SATISFIED","600.0487929669907","8276159","0","646","599.944","","131","","","132","","","raw","0.050521","minimize","85","714366505","131","646","","","0.001122","","","","","","2983","","0","132","16565231"
"gecode","jsswet","jsswet.mzn","jsswet_la05.dzn","OPTIMAL_SOLUTION","275.1802631660248","8275855","0","3547","274.28","","81","","","77","","","raw","0.049631","minimize","65","167722922","81","3547","","","0.000913","","","","","","54","","0","77","16580411"
"picat_sat","jsswet","jsswet.mzn","jsswet_swv13.dzn","UNKNOWN","600.5329788270174","","","0","","","","","","25102","","","raw","1.08109","minimize","","","651","","24500","","","","","24500","","12250","","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_swv11.dzn","UNKNOWN","600.5241233269917","","","0","","","","","","25102","","","raw","1.0244","minimize","","","651","","24500","","","","","24500","","12250","","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la10.dzn","OPTIMAL_SOLUTION","63.035192879033275","65390","3038","2859","62.847","62.844","119333","0.0","","112","0.0","1630368943","raw","0.056617","minimize","496","124740705","121","","","152060","0.025","1.41","119209","","65390","","92","122","0","1184","785891"
"gecode","jsswet","jsswet.mzn","jsswet_swv06.dzn","SATISFIED","600.049484757008","18373358","0","1432","599.92","","361","","","357","","","raw","0.074387","minimize","211","495316158","361","1432","","","0.002644","","","","","","18975","","0","357","36800339"
"chuffed","jsswet","jsswet.mzn","jsswet_swv11.dzn","UNKNOWN","600.1983747750055","","","0","","","","","","612","","","raw","0.119821","minimize","","","651","","","","","","","","","","","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_swv03.dzn","OPTIMAL_SOLUTION","447.5255953249871","","","10","447.1817099049804","","","","0.14334142000669986","4042","","","raw","0.200544","minimize","","","261","","3800","","","","","3800","","1900","281","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la27.dzn","SATISFIED","600.0552230110043","","","2832","","","","","","252","","","raw","0.065613","minimize","","","261","","","","","","","","","","2944","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la09.dzn","OPTIMAL_SOLUTION","136.54218304203823","","","7","136.19829762203153","","","","0.24968142000669985","1157","","","raw","0.094204","minimize","","","121","","1050","","","","","1050","","525","210","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la05.dzn","OPTIMAL_SOLUTION","0.9669999799807556","292","85","83","0.736","0.735","101269","0.0","","77","0.0","1630368755","raw","0.052618","minimize","400","651948","81","","","4639","0.099","0.63","101185","","292","","54","82","0","544","15088"
"gecode","jsswet","jsswet.mzn","jsswet_orb08.dzn","SATISFIED","600.044273276988","17686060","0","489","599.941","","131","","","132","","","raw","0.053452","minimize","72","670852405","131","489","","","0.001289","","","","","","4317","","0","132","35383136"
"picat_sat","jsswet","jsswet.mzn","jsswet_orb02.dzn","OPTIMAL_SOLUTION","75.78556451096665","","","7","75.44167909095995","","","","0.25295142000669985","1022","","","raw","0.090934","minimize","","","131","","900","","","","","900","","450","116","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_ft06.dzn","OPTIMAL_SOLUTION","2.2377688990090974","","","4","1.8938834790023975","","","","0.27426342000669984","230","","","raw","0.069622","minimize","","","55","","180","","","","","180","","90","2","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_orb10.dzn","OPTIMAL_SOLUTION","88.95155174401589","","","4","88.60766632400919","","","","0.2627224200066999","1022","","","raw","0.081163","minimize","","","131","","900","","","","","900","","450","93","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_la12.dzn","SATISFIED","600.0447225429816","10045468","0","37","599.938","","161","","","147","","","raw","0.056441","minimize","92","304317029","161","37","","","0.001447","","","","","","18253","","0","147","20091281"
"chuffed","jsswet","jsswet.mzn","jsswet_la38.dzn","OPTIMAL_SOLUTION","33.597968645975925","5506","843","820","33.398","33.396","184887","0.0","","272","0.0","1630370403","raw","0.068743","minimize","768","36544585","271","","","25284","0.009","4.75","184613","","5506","","0","272","0","3454","485264"
"gecode","jsswet","jsswet.mzn","jsswet_la28.dzn","SATISFIED","600.0585781630361","3544364","0","2415","599.928","","261","","","252","","","raw","0.066528","minimize","143","329668920","261","2415","","","0.002037","","","","","","7098","","0","252","7171045"
"picat_sat","jsswet","jsswet.mzn","jsswet_abz8.dzn","OPTIMAL_SOLUTION","379.08765235799365","","","9","378.74376693798695","","","","0.06970742000669988","6042","","","raw","0.274178","minimize","","","360","","5700","","","","","5700","","2850","3","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la20.dzn","OPTIMAL_SOLUTION","72.32685640401905","","","8","71.98297098401235","","","","0.25483742000669984","1022","","","raw","0.089048","minimize","","","131","","900","","","","","900","","450","16","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_swv07.dzn","SATISFIED","600.186784066027","","","8","599.8428986460203","","","","0.05694142000669988","6042","","","raw","0.286944","minimize","","","361","","5700","","","","","5700","","2850","26","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_swv04.dzn","SATISFIED","600.0442038089968","1949900","0","1466","599.93","","261","","","252","","","raw","0.06515","minimize","166","406637512","261","1466","","","0.002057","","","","","","19229","","0","252","3943669"
"picat_sat","jsswet","jsswet.mzn","jsswet_la10.dzn","OPTIMAL_SOLUTION","106.73851465800544","","","9","106.39462923799874","","","","0.25150942000669985","1157","","","raw","0.092376","minimize","","","121","","1050","","","","","1050","","525","92","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_swv03.dzn","SATISFIED","600.1289106100448","","","844","","","","","","252","","","raw","0.067687","minimize","","","261","","","","","","","","","","10280","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la18.dzn","OPTIMAL_SOLUTION","2.593266663956456","203","307","305","2.435","2.435","53734","0.0","","132","0.0","1630369338","raw","0.055881","minimize","262","2206472","131","","","3723","0.02","0.94","53600","","203","","0","132","0","1054","68595"
"chuffed","jsswet","jsswet.mzn","jsswet_orb06.dzn","OPTIMAL_SOLUTION","0.3880758009618148","279","18","16","0.257","0.257","42088","0.0","","132","0.0","1630370653","raw","0.056852","minimize","273","716747","131","","","799","0.011","0.94","41954","","279","","26","132","0","1054","4283"
"picat_sat","jsswet","jsswet.mzn","jsswet_la19.dzn","OPTIMAL_SOLUTION","66.49414186598733","","","8","66.15025644598063","","","","0.2558654200066999","1022","","","raw","0.08802","minimize","","","131","","900","","","","","900","","450","18","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_swv07.dzn","SATISFIED","600.0496610159753","7511778","0","577","599.919","","361","","","357","","","raw","0.074968","minimize","208","244777170","361","577","","","0.0027","","","","","","14907","","0","357","15046339"
"chuffed","jsswet","jsswet.mzn","jsswet_orb04.dzn","OPTIMAL_SOLUTION","2.180251685960684","258","219","217","2.053","2.053","47794","0.0","","132","0.0","1630370614","raw","0.057474","minimize","273","1826446","131","","","5837","0.004","0.94","47660","","258","","10","132","0","1054","54248"
"picat_sat","jsswet","jsswet.mzn","jsswet_swv10.dzn","SATISFIED","600.2242604480125","","","5","599.8803750280058","","","","0.05903642000669984","6042","","","raw","0.284849","minimize","","","361","","5700","","","","","5700","","2850","299","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_swv01.dzn","SATISFIED","600.0444573719869","14810193","0","1008","599.932","","261","","","252","","","raw","0.06258","minimize","161","373047914","261","1008","","","0.002078","","","","","","16708","","0","252","29641434"
"gecode","jsswet","jsswet.mzn","jsswet_swv08.dzn","SATISFIED","600.0476212010253","7823174","0","313","599.92","","361","","","357","","","raw","0.07442","minimize","202","340663485","361","313","","","0.002656","","","","","","22096","","0","357","15651872"
