"configuration","problem","model","data_file","status","time","flatBoolVars","run","bimanderTotalM","error","nSolutions","objective","method","flatIntVars","nClauseVariables","paths","solveTime","flatTime","evaluatedHalfReifiedConstraints","flatIntConstraints","processFlatZincTime","bimanderTotalOffset","flatBoolConstraints","bimanderTotalAbsoluteBalance","nVariables","bimanderCount","bimanderTotalN","eliminatedImplications","nClauses"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_orb08.dzn","OPTIMAL_SOLUTION","28.10546982899541","220124","raw","0","","2","0","minimize","12802","936745","0","2.0002","21.0056","260","12801","1.2308","0","429082","0","153284","0","0","21332","369686"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la29.dzn","OPTIMAL_SOLUTION","93.09748156304704","699706","raw","0","","2","27","minimize","34874","3124545","0","17.1493","60.7895","520","34873","4.1334","0","1384061","0","506966","0","0","36666","1236937"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la27.dzn","OPTIMAL_SOLUTION","106.40212456102017","718649","raw","0","","2","283","minimize","36238","3206392","0","27.9021","62.7957","520","36237","4.4905","0","1420025","0","521407","0","0","39070","1269272"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la27.dzn","SATISFIED","605.6109678890207","8538","raw","0","","2","5642","minimize","580","863953","0","600.1743","4.31554","4320","579","0.7854","0","10338","0","215827","0","0","","355715"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_ft06.dzn","OPTIMAL_SOLUTION","0.46993823000229895","915","raw","0","","2","2","minimize","86","24703","0","0.0733","0.325857","285","85","0.0199","0","1126","0","6412","0","0","","10295"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_swv03.dzn","OPTIMAL_SOLUTION","147.68062239099527","967540","raw","0","","2","281","minimize","47217","4584959","0","37.9995","87.8661","600","47216","6.589","0","1962274","0","660984","0","0","49869","1709385"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la05.dzn","OPTIMAL_SOLUTION","10.200243691040669","85257","raw","0","","2","54","minimize","8929","420512","0","0.7136","7.63825","160","8928","0.526","0","171389","0","64150","0","0","2316","161314"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_ft20.dzn","OPTIMAL_SOLUTION","135.86399137502303","396007","raw","0","","2","308","minimize","39542","1997306","0","94.0109","32.8996","320","39541","2.7976","0","808938","0","291361","0","0","7358","753129"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la05.dzn","OPTIMAL_SOLUTION","12.925272191001568","79813","raw","0","","2","54","minimize","8929","1016930","0","3.4012","6.62254","80","8928","1.7637","0","151735","0","79801","0","0","2316","346096"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_swv06.dzn","OPTIMAL_SOLUTION","252.84946055803448","1574122","raw","0","","2","192","minimize","53767","7080302","0","67.1346","149.516","800","53766","9.85","0","3136147","0","1080562","0","0","129334","2701515"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_ft20.dzn","OPTIMAL_SOLUTION","61.309260239009745","421939","raw","0","","2","308","minimize","39542","2335314","0","10.0411","41.0647","400","39541","3.07","0","885814","0","291361","0","0","7358","804073"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la40.dzn","OPTIMAL_SOLUTION","101.73977569502313","629470","raw","0","","2","53","minimize","25099","2668669","0","15.0766","70.2388","600","25098","3.8031","0","1212139","0","440005","0","0","70996","1036583"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la16.dzn","OPTIMAL_SOLUTION","27.749751264986116","220871","raw","0","","2","49","minimize","12423","801930","0","2.0854","20.7658","180","12422","1.1644","0","406902","0","160985","0","0","17993","354819"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la07.dzn","OPTIMAL_SOLUTION","47.2273071630043","192313","raw","0","","2","225","minimize","19710","2520455","0","27.0656","14.7075","120","19709","2.7632","0","372085","0","192297","0","0","3657","853470"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la40.dzn","OPTIMAL_SOLUTION","89.5320948419976","605140","raw","0","","2","53","minimize","25099","2212169","0","14.7059","60.3844","420","25098","3.3674","0","1119598","0","439660","0","0","70996","968027"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la36.dzn","OPTIMAL_SOLUTION","144.21045308199245","7671","raw","0","","2","0","minimize","418","654150","0","139.2576","4.0576","3690","417","0.5814","0","8766","0","167148","0","0","","269162"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la36.dzn","OPTIMAL_SOLUTION","88.0113739259541","606619","raw","0","","2","0","minimize","24965","2209415","0","11.5055","61.6744","420","24964","3.3303","0","1118837","0","441279","0","0","75881","968506"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la17.dzn","OPTIMAL_SOLUTION","25.19585060502868","181513","raw","0","","2","15","minimize","10448","740910","0","1.9522","18.9576","260","10447","0.9954","0","344240","0","129983","0","0","15046","299217"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la34.dzn","SATISFIED","613.1364337200066","17640","raw","0","","2","17963","minimize","919","2168764","0","600.2511","9.90148","9480","918","2.3094","0","22521","0","539440","0","0","","889937"
