"configuration","problem","model","data_file","status","time","flatBoolVars","run","bimanderTotalM","error","nSolutions","objective","method","flatIntVars","nClauseVariables","paths","solveTime","flatTime","evaluatedHalfReifiedConstraints","flatIntConstraints","processFlatZincTime","bimanderTotalOffset","flatBoolConstraints","bimanderTotalAbsoluteBalance","nVariables","bimanderCount","bimanderTotalN","eliminatedImplications","nClauses"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la39.dzn","OPTIMAL_SOLUTION","90.73498607502552","590719","raw","0","","2","96","minimize","25496","2150950","0","16.692699","59.7818","420","25495","3.4428","0","1089266","0","430167","0","0","72715","942945"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la02.dzn","OPTIMAL_SOLUTION","12.634733261016663","89256","raw","0","","2","75","minimize","9680","1135801","0","2.2464","7.40534","80","9679","1.7028","0","169357","0","89242","0","0","2186","386574"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la22.dzn","OPTIMAL_SOLUTION","47.97131001600064","345336","raw","0","","2","41","minimize","18683","1474826","0","7.3831","32.755","390","18682","1.9455","0","674424","0","243406","0","0","25870","584112"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la39.dzn","OPTIMAL_SOLUTION","101.05791088799015","614345","raw","0","","2","96","minimize","25496","2600565","0","16.323","68.8724","600","25495","3.6557","0","1180152","0","430512","0","0","72715","1010550"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_swv12.dzn","ERROR","","","raw","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","","","","","","","","","","","","","",""
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_ft10.dzn","OPTIMAL_SOLUTION","27.619965813995805","213711","raw","0","","2","0","minimize","12603","781267","0","2.9836","19.9114","180","12602","1.1212","0","396152","0","155130","0","0","20853","345325"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_swv14.dzn","ERROR","","","raw","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","","","","","","","","","","","","","",""
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_swv12.dzn","ERROR","","","raw","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","","","","","","","","","","","","","",""
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la40.dzn","OPTIMAL_SOLUTION","96.40983330999734","617305","raw","0","","2","53","minimize","25099","2505640","0","15.2805","65.5822","540","25098","3.5619","0","1176334","0","440005","0","0","70996","1012943"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_swv04.dzn","UNKNOWN","605.7150715480093","8554","raw","0","","0","","minimize","613","869052","0","600.1254","4.45411","4320","612","0.812","0","10215","0","216629","0","0","","356612"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_swv05.dzn","OPTIMAL_SOLUTION","137.84588365600212","955105","raw","0","","2","155","minimize","48051","4256208","0","33.5578","79.0762","520","48050","5.8841","0","1907769","0","673665","0","0","49828","1680135"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la33.dzn","OPTIMAL_SOLUTION","272.51024875900475","1632893","raw","0","","2","81","minimize","75494","7934154","0","95.6147","141.623","900","75493","10.1541","0","3311178","0","1138309","0","0","55403","2924805"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la04.dzn","OPTIMAL_SOLUTION","11.42829825397348","79017","raw","0","","2","205","minimize","8100","416362","0","1.2787","8.31203","90","8099","0.538","0","193113","0","63852","0","0","2377","175555"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la20.dzn","OPTIMAL_SOLUTION","2.731327096989844","2743","raw","0","","2","16","minimize","255","192635","0","1.1674","1.26676","1160","254","0.1755","0","3298","0","49197","0","0","","79489"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la04.dzn","OPTIMAL_SOLUTION","12.781817326962482","89297","raw","0","","2","205","minimize","8100","475608","0","1.0993","9.51843","200","8099","0.6238","0","184152","0","63566","0","0","2377","168878"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_swv02.dzn","OPTIMAL_SOLUTION","148.16280924802413","1000748","raw","0","","2","204","minimize","48873","4734399","0","35.1503","90.0828","600","48872","6.9674","0","2028396","0","682657","0","0","47873","1765057"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_orb02.dzn","OPTIMAL_SOLUTION","4.180719805008266","2745","raw","0","","2","116","minimize","268","195283","0","2.6779","1.21386","1160","267","0.1723","0","3417","0","49782","0","0","","80574"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_orb01.dzn","OPTIMAL_SOLUTION","32.83654310001293","259527","raw","0","","2","178","minimize","15280","960801","0","3.3223","23.5594","180","15279","1.6249","0","485336","0","186744","0","0","22214","421818"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la37.dzn","OPTIMAL_SOLUTION","104.35003339499235","700438","raw","0","","2","102","minimize","28346","2571900","0","18.06","69.8066","420","28345","3.8506","0","1300510","0","507154","0","0","81168","1123325"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_swv14.dzn","ERROR","","","raw","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","","","","","","","","","","","","","",""
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_orb01.dzn","OPTIMAL_SOLUTION","34.6118923840113","267844","raw","0","","2","178","minimize","15280","1133158","0","3.3538","25.1105","260","15279","1.6335","0","519407","0","186974","0","0","22214","447802"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la03.dzn","OPTIMAL_SOLUTION","10.23608784499811","84278","raw","0","","2","101","minimize","8331","415248","0","0.687","7.68893","160","8330","0.5555","0","169359","0","63706","0","0","2688","159557"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_swv05.dzn","OPTIMAL_SOLUTION","133.02411539002787","924922","raw","0","","2","155","minimize","48051","4269922","0","35.2797","78.1453","380","48050","6.2387","0","2037908","0","674545","0","0","49828","1784949"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la35.dzn","SATISFIED","613.7418220459949","17655","raw","0","","2","43216","minimize","920","2157642","0","600.2522","10.6059","9479","919","2.1702","0","22936","0","536316","0","0","","885574"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_orb06.dzn","OPTIMAL_SOLUTION","30.689977069036104","232578","raw","0","","2","26","minimize","14190","850327","0","3.0647","22.2905","180","14189","1.3097","0","431472","0","168741","0","0","22399","375825"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la20.dzn","OPTIMAL_SOLUTION","30.61791380099021","210156","raw","0","","2","16","minimize","11870","933470","0","1.8605","23.5682","300","11869","1.1625","0","407345","0","145700","0","0","19796","350426"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la24.dzn","OPTIMAL_SOLUTION","53.61519992497051","342635","raw","0","","2","58","minimize","18626","1550716","0","5.6109","39.1678","450","18625","2.1316","0","676808","0","236129","0","0","28287","581568"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la38.dzn","OPTIMAL_SOLUTION","44.978832494001836","7674","raw","0","","2","0","minimize","424","651832","0","40.2747","3.81187","3690","423","0.5979","0","8945","0","166863","0","0","","268336"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la15.dzn","SATISFIED","643.9247629599995","358558","raw","0","","2","3670","minimize","35086","1980004","0","601.0576","34.7188","180","35085","2.5498","0","874874","0","284521","0","0","6436","820549"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la29.dzn","OPTIMAL_SOLUTION","102.3335158820264","721719","raw","0","","2","27","minimize","34874","3415740","0","18.0596","67.7707","600","34873","4.4108","0","1449180","0","506966","0","0","36666","1280043"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la22.dzn","OPTIMAL_SOLUTION","44.98119633103488","334799","raw","0","","2","41","minimize","18683","1250460","0","7.024","30.4839","270","18682","1.841","0","630426","0","243062","0","0","25870","550307"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la18.dzn","OPTIMAL_SOLUTION","2.7089030659990385","2633","raw","0","","2","0","minimize","247","174230","0","1.2718","1.16856","1158","246","0.1496","0","2850","0","44511","0","0","","71793"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_orb08.dzn","OPTIMAL_SOLUTION","26.22023893299047","213214","raw","0","","2","0","minimize","12802","792628","0","1.9686","19.3919","180","12801","1.2592","0","400643","0","153058","0","0","21332","347931"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la19.dzn","OPTIMAL_SOLUTION","26.674930901965126","190720","raw","0","","2","18","minimize","11376","774773","0","1.9523","20.1424","260","11375","1.0833","0","360642","0","137760","0","0","15753","313995"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la32.dzn","SATISFIED","784.226004000986","1718379","raw","0","","2","7594","minimize","83666","7811538","0","604.5055","143.42","780","83665","10.5279","0","3435099","0","1230794","0","0","61314","3059952"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_abz7.dzn","OPTIMAL_SOLUTION","60.562843815016095","478881","raw","0","","2","32","minimize","18746","1799475","0","6.7786","43.0004","560","18745","2.525","0","904595","0","342339","0","0","50934","781047"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_orb06.dzn","OPTIMAL_SOLUTION","36.2292382880114","247224","raw","0","","2","26","minimize","14190","1108281","0","3.116","26.9182","300","14189","1.4744","0","484496","0","168971","0","0","22399","414433"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la33.dzn","UNKNOWN","612.4399480430293","17637","raw","0","","0","","minimize","918","2162472","0","600.138","9.57897","9480","917","2.0468","0","22556","0","538239","0","0","","887366"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_abz9.dzn","SATISFIED","608.0567868830403","12139","raw","0","","2","1708","minimize","539","1030153","0","600.2033","6.44875","6420","538","0.9137","0","14804","0","264889","0","0","","424293"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_ft06.dzn","OPTIMAL_SOLUTION","0.8354026429587975","5077","raw","0","","2","2","minimize","455","19953","0","0.0298","0.675863","108","454","0.0224","0","9458","0","3629","0","0","200","8288"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la34.dzn","OPTIMAL_SOLUTION","399.9968972870265","1594585","raw","0","","2","224","minimize","79130","7485981","0","221.6006","143.736","570","79129","10.9027","0","3508906","0","1182721","0","0","58714","3124092"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_abz6.dzn","OPTIMAL_SOLUTION","33.328641977976076","221243","raw","0","","2","140","minimize","12768","981247","0","2.5815","25.2445","300","12767","1.2522","0","427153","0","154177","0","0","17853","368329"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_orb10.dzn","OPTIMAL_SOLUTION","5.326722058001906","2750","raw","0","","2","93","minimize","275","195915","0","3.8226","1.19251","1158","274","0.1951","0","3198","0","50047","0","0","","80846"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_orb07.dzn","OPTIMAL_SOLUTION","13.78554561000783","92456","raw","0","","2","102","minimize","5435","399601","0","0.6902","10.7967","300","5434","0.5148","0","180162","0","63820","0","0","9130","155024"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la10.dzn","OPTIMAL_SOLUTION","30.34894588694442","209554","raw","0","","2","92","minimize","21517","1137565","0","3.9949","21.6179","135","21516","1.4362","0","509399","0","166528","0","0","3858","473517"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la25.dzn","OPTIMAL_SOLUTION","47.12069985200651","5261","raw","0","","2","214","minimize","410","434197","0","43.9636","2.5433","2490","409","0.3863","0","6679","0","110715","0","0","","179043"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_swv10.dzn","OPTIMAL_SOLUTION","218.83088399103144","1622734","raw","0","","2","28","minimize","53766","7296766","0","29.0811","152.536","800","53765","9.8016","0","3232649","0","1114264","0","0","134685","2784429"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la05.dzn","OPTIMAL_SOLUTION","1.2893300949945115","1503","raw","0","","2","54","minimize","269","111654","0","0.4038","0.707033","610","268","0.1039","0","2089","0","26978","0","0","","45777"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la20.dzn","OPTIMAL_SOLUTION","26.520963508985005","198024","raw","0","","2","16","minimize","11870","711250","0","1.8688","20.0715","180","11869","1.0604","0","361924","0","145473","0","0","19796","316910"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la35.dzn","OPTIMAL_SOLUTION","338.95153877401026","1808754","raw","0","","2","96","minimize","82347","8766908","0","132.2318","165.681","900","82346","11.8208","0","3674751","0","1251236","0","0","59699","3231094"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la29.dzn","OPTIMAL_SOLUTION","97.31939807900926","678393","raw","0","","2","27","minimize","34874","3104426","0","17.8918","64.335499","380","34873","4.2323","0","1487327","0","507846","0","0","36666","1306569"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la32.dzn","UNKNOWN","612.7179407069925","17655","raw","0","","0","","minimize","950","2162463","0","600.1312","9.87453","9480","949","2.0227","0","23164","0","537447","0","0","","887842"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la23.dzn","OPTIMAL_SOLUTION","48.31487656099489","373736","raw","0","","2","71","minimize","21296","1391109","0","7.6497","32.5681","270","21295","1.9959","0","701111","0","272423","0","0","25001","612481"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_orb03.dzn","OPTIMAL_SOLUTION","14.647706001007464","2760","raw","0","","2","69","minimize","286","195071","0","13.0625","1.26112","1160","285","0.1995","0","3253","0","49751","0","0","","80354"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_ft20.dzn","OPTIMAL_SOLUTION","56.227412844018545","370775","raw","0","","2","308","minimize","39542","2052243","0","11.0833","36.2336","180","39541","2.8274","0","904781","0","292692","0","0","7358","848976"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la22.dzn","OPTIMAL_SOLUTION","43.45950769702904","334799","raw","0","","2","41","minimize","18683","1250460","0","6.8202","29.4653","270","18682","1.8072","0","630426","0","243062","0","0","25870","550307"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la19.dzn","OPTIMAL_SOLUTION","29.23218040500069","196223","raw","0","","2","18","minimize","11376","842137","0","1.9365","22.3716","300","11375","1.1046","0","376737","0","137760","0","0","15753","324587"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_swv08.dzn","OPTIMAL_SOLUTION","400.36849513300695","1581792","raw","0","","2","113","minimize","57971","10729295","0","225.4246","136.594","560","57970","12.6584","0","3058372","0","1241366","0","0","135110","3978393"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_swv06.dzn","OPTIMAL_SOLUTION","516.959056533","12820","raw","0","","2","211","minimize","614","1384196","0","508.3902","6.75985","6420","613","1.2815","0","15654","0","347540","0","0","","568732"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_abz6.dzn","OPTIMAL_SOLUTION","2.7536774780019186","2751","raw","0","","2","140","minimize","271","196727","0","1.2643","1.19474","1160","270","0.1735","0","3310","0","50049","0","0","","81014"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la35.dzn","OPTIMAL_SOLUTION","460.88435113901505","1696832","raw","0","","2","96","minimize","82347","7959525","0","270.4829","154.061","570","82346","10.7785","0","3733775","0","1253726","0","0","59699","3319540"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_yn4.dzn","OPTIMAL_SOLUTION","261.02393576403847","16419","raw","0","","2","35","minimize","551","1529115","0","250.0359","9.05364","8518","550","1.3507","0","19342","0","392595","0","0","","628655"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la34.dzn","SATISFIED","756.9014066339587","1593445","raw","0","","2","32676","minimize","79130","13363523","0","603.978","117.988","540","79129","14.1361","0","3108492","0","1331901","0","0","58714","4784118"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_swv03.dzn","OPTIMAL_SOLUTION","313.4767417249968","906808","raw","0","","2","281","minimize","47217","7604165","0","221.3148","70.2427","360","47216","8.7768","0","1764089","0","757262","0","0","49869","2722133"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la08.dzn","OPTIMAL_SOLUTION","25.85794822202297","2856","raw","0","","2","92","minimize","435","282369","0","24.1428","1.3243","1290","434","0.2617","0","4032","0","68389","0","0","","115840"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_orb01.dzn","OPTIMAL_SOLUTION","37.40907987294486","276161","raw","0","","2","178","minimize","15280","1243032","0","3.3245","27.5794","300","15279","1.5999","0","543898","0","186974","0","0","22214","463976"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_ft10.dzn","OPTIMAL_SOLUTION","19.374433510005474","2750","raw","0","","2","0","minimize","266","195741","0","17.8535","1.23759","1160","265","0.1681","0","3355","0","49851","0","0","","80639"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la17.dzn","OPTIMAL_SOLUTION","23.009315181989223","176152","raw","0","","2","15","minimize","10448","631951","0","1.8858","17.1656","180","10447","0.9163","0","321131","0","129775","0","0","15046","281276"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la36.dzn","OPTIMAL_SOLUTION","99.62900734000141","630929","raw","0","","2","0","minimize","24965","2672312","0","13.2101","70.2552","600","24964","3.8406","0","1212325","0","441624","0","0","75881","1038029"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la18.dzn","OPTIMAL_SOLUTION","29.513773476995993","199709","raw","0","","2","0","minimize","11038","863340","0","2.2472","22.3124","300","11037","1.1321","0","385324","0","139266","0","0","16232","331823"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_vw3x3.dzn","OPTIMAL_SOLUTION","0.6852531000040472","4889","raw","0","","2","0","minimize","1133","16151","0","0.0354","0.526049","12","1132","0.0238","0","8309","0","3827","0","0","46","8116"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la27.dzn","OPTIMAL_SOLUTION","111.43837829801487","696880","raw","0","","2","283","minimize","36238","3177477","0","30.0664","65.541399","380","36237","4.8197","0","1527736","0","522289","0","0","39070","1339196"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la32.dzn","OPTIMAL_SOLUTION","507.6621840700391","1664348","raw","0","","2","724","minimize","83666","7791367","0","324.4692","146.664","570","83665","10.6052","0","3661689","0","1233704","0","0","61314","3253598"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_abz8.dzn","OPTIMAL_SOLUTION","67.64555115503026","494943","raw","0","","2","3","minimize","19080","1859162","0","11.6694","44.6069","560","19079","2.6913","0","934122","0","354565","0","0","48932","806773"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la01.dzn","OPTIMAL_SOLUTION","13.925885380012915","101765","raw","0","","2","127","minimize","9373","536735","0","0.8892","10.6956","200","9372","0.6181","0","209015","0","71824","0","0","1831","190503"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la04.dzn","OPTIMAL_SOLUTION","11.124389289994724","83997","raw","0","","2","205","minimize","8100","412674","0","1.123","7.68221","160","8099","0.5339","0","168672","0","63566","0","0","2377","158698"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_abz5.dzn","OPTIMAL_SOLUTION","44.77525696402881","283906","raw","0","","2","103","minimize","16801","1268965","0","4.0903","33.441499","300","16800","1.6984","0","549281","0","197293","0","0","24074","475653"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la16.dzn","OPTIMAL_SOLUTION","30.9993609500234","227755","raw","0","","2","49","minimize","12423","953553","0","2.8529","22.8016","260","12422","1.3024","0","436421","0","161215","0","0","17993","377684"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la32.dzn","OPTIMAL_SOLUTION","403.2719463829999","1773550","raw","0","","2","724","minimize","83666","8594975","0","207.6085","156.327","900","83665","11.6635","0","3599112","0","1230794","0","0","61314","3168794"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la14.dzn","OPTIMAL_SOLUTION","460.92921339097666","4597","raw","0","","2","123","minimize","624","495283","0","457.8633","2.39121","2219","623","0.4704","0","6276","0","120100","0","0","","202989"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la03.dzn","OPTIMAL_SOLUTION","11.105111651006155","79253","raw","0","","2","101","minimize","8331","418663","0","0.7631","8.49072","90","8330","0.5611","0","194039","0","63978","0","0","2688","176466"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la37.dzn","OPTIMAL_SOLUTION","42.233408182975836","7679","raw","0","","2","102","minimize","434","649708","0","37.6901","3.69501","3690","433","0.5667","0","8985","0","166140","0","0","","267645"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_swv09.dzn","SATISFIED","608.8655250900192","12818","raw","0","","2","4845","minimize","616","1394033","0","600.247","6.84024","6419","615","1.2735","0","15980","0","349728","0","0","","572081"
