"configuration","problem","model","data_file","status","time","flatIntConstraints","solveTime","backjumps","run","optTime","flatTime","flatIntVars","bimanderTotalN","propagations","nodes","randomSeed","nClauseVariables","processFlatZincTime","trailMem","peakDepth","bimanderTotalOffset","paths","evaluatedHalfReifiedConstraints","baseMem","flatBoolVars","intVars","peakMem","solutions","failures","method","variables","nogoods","initTime","boolVariables","propagators","nVariables","bimanderTotalM","flatBoolConstraints","nClauses","restarts","nSolutions","bimanderTotalAbsoluteBalance","objective","bimanderCount"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","30970.dzn","OPTIMAL_SOLUTION","13.266034506261349","1101","1.8135","","raw","","10.8371","1102","0","","","","117201","0.1373","","","0","0","180","","3760","","","","","minimize","","","","","","15639","0","11349","36826","","2","0","7733","0"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","7227.dzn","OPTIMAL_SOLUTION","18.736492668278515","1211","7.3625","","raw","","10.7206","1212","0","","","","124080","0.1165","","","0","0","180","","3782","","","","","minimize","","","","","","15634","0","11065","36517","","2","0","7738","0"
"chuffed","tablelayout","TableLayout.mzn","21996.dzn","OPTIMAL_SOLUTION","195.6198289114982","1961","193.577","0","raw","193.576","0.832914","2669","","41803808","933447","1637204402","","","1.41","579","","0","","0.0","","2082","0.0","","0","minimize","172482","0","0.2","170398","1310","","","","","2021","2021","","7768",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","18051.dzn","OPTIMAL_SOLUTION","22.42329645808786","124826","0.9851","","raw","","17.6075","124827","0","","","","537449","0.7935","","","0","0","","","105429","","","","","minimize","","","","","","122202","0","187268","282852","","1","0","7741","0"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","30879.dzn","OPTIMAL_SOLUTION","16.32498059887439","1101","5.1262","","raw","","10.4922","1102","0","","","","117983","0.1228","","","0","0","180","","3888","","","","","minimize","","","","","","15422","0","11680","36537","","9","0","7739","0"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","30970.dzn","OPTIMAL_SOLUTION","20.53818775061518","97012","4.8645","","raw","","12.6129","97013","0","","","","428712","0.7279","","","0","0","","","82505","","","","","minimize","","","","","","97362","0","145877","224376","","2","0","7733","0"
"chuffed","tablelayout","TableLayout.mzn","30879.dzn","OPTIMAL_SOLUTION","174.12848061788827","2111","172.014","0","raw","172.013","0.885757","2719","","45657281","873690","1637204426","","","1.41","610","","0","","0.0","","2221","0.0","","0","minimize","173205","0","0.21","170982","1410","","","","","1778","1778","","7739",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","21996.dzn","OPTIMAL_SOLUTION","16.594634786248207","96942","0.7534","","raw","","12.6958","96943","0","","","","428363","0.8174","","","0","0","","","82378","","","","","minimize","","","","","","97278","0","145667","224175","","1","0","7768","0"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","21996.dzn","OPTIMAL_SOLUTION","14.295225040055811","1101","3.0652","","raw","","10.5999","1102","0","","","","115031","0.1386","","","0","0","180","","3674","","","","","minimize","","","","","","15437","0","11009","36215","","8","0","7768","0"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","18051.dzn","OPTIMAL_SOLUTION","27.630496327765286","124826","6.5725","","raw","","17.3473","124827","0","","","","537449","0.7678","","","0","0","","","105429","","","","","minimize","","","","","","122202","0","187268","282852","","1","0","7741","0"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","18051.dzn","OPTIMAL_SOLUTION","22.417348012328148","124826","3.3728","","raw","","16.1084","124827","0","","","","227065","0.496","","","0","0","70","","65786","","","","","minimize","","","","","","78004","0","70583","158650","","2","0","7741","0"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","24532.dzn","UNKNOWN","616.0079419594258","101960","600.1595","","raw","","14.1254","101961","0","","","","199635","0.4181","","","0","0","70","","54205","","","","","minimize","","","","","","65947","0","58738","134356","","0","0","","0"
"chuffed","tablelayout","TableLayout.mzn","1979.dzn","OPTIMAL_SOLUTION","272.93687544297427","2144","270.986","0","raw","270.986","0.89742","2730","","81335726","1629694","1637204604","","","1.41","741","","0","","0.0","","2264","0.0","","0","minimize","111894","0","0.037","109628","1432","","","","","2884","2884","","7735",""
"gecode","tablelayout","TableLayout.mzn","18051.dzn","OPTIMAL_SOLUTION","270.89014226570725","2024","269.064","","raw","","0.883246","2690","","5455898","747328","","","","","732","","0","","","","","","2899","98731","minimize","5193","","0.018653","","2024","","","","","0","2899","","7741",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","21996.dzn","OPTIMAL_SOLUTION","18.654891895130277","96942","3.0274","","raw","","13.2158","96943","0","","","","189025","0.576","","","0","0","70","","51567","","","","","minimize","","","","","","63330","0","55860","128959","","2","0","7768","0"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","24532.dzn","OPTIMAL_SOLUTION","24.01066671591252","101960","5.2232","","raw","","15.5932","101961","0","","","","456406","0.6737","","","0","0","","","86602","","","","","minimize","","","","","","103423","0","153919","238092","","1","0","7789","0"
"picat_sat","tablelayout","TableLayout.mzn","30879.dzn","OPTIMAL_SOLUTION","90.55500021018088","2111","89.59121346846223","","raw","","0.900277","2719","","","","","","0.06350974171864987","","","","0","","","","","","","","minimize","","","","","","","","","","","11","","7739",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","30970.dzn","OPTIMAL_SOLUTION","16.893869895488024","97012","0.7222","","raw","","12.9157","97013","0","","","","428712","0.8708","","","0","0","","","82505","","","","","minimize","","","","","","97362","0","145877","224376","","2","0","7733","0"
