"configuration","problem","model","data_file","status","time","failures","nSolutions","peakDepth","restarts","paths","nogoods","randomSeed","evaluatedReifiedConstraints","trailMem","baseMem","backjumps","optTime","solutions","variables","run","method","flatIntConstraints","propagators","intVars","objective","peakMem","flatBoolConstraints","processFlatZincTime","flatIntVars","flatTime","flatBoolVars","solveTime","initTime","boolVariables","nodes","propagations"
"picat_sat","jsswet","jsswet.mzn","jsswet_la35.dzn","SATISFIED","600.2077284429688","","8","","","0","","","8700","","","","","","","raw","minimize","9061","","","47747","","4350","-0.03758703400090707","391","0.401066","8700","599.8442494769697","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la07.dzn","SATISFIED","600.0710261500208","","3756","","","0","","","","","","","","","","raw","minimize","111","","","101524","","","","121","0.058838","","","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la14.dzn","SATISFIED","600.0875125729945","","2843","","","0","","","","","","","","","","raw","minimize","146","","","134707","","","","161","0.059091","","","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la39.dzn","SATISFIED","600.0453139200108","3370192","829","130","0","0","","","","","","","","829","271","raw","minimize","271","265","","62505","","","","271","0.063864","","599.931","0.001998","","6742986","400621148"
"picat_sat","jsswet","jsswet.mzn","jsswet_la25.dzn","OPTIMAL_SOLUTION","299.5672064589453","","9","","","0","","","2100","","","","","","","raw","minimize","2281","","","15525","","1050","0.2316579659990929","196","0.131821","2100","299.2037274929462","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la02.dzn","OPTIMAL_SOLUTION","76.02707107097376","","12","","","0","","","450","","","","","","","raw","minimize","521","","","663","","225","0.30106496599909294","81","0.062414","450","75.66359210497467","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la26.dzn","SATISFIED","600.2090825650375","","10","","","0","","","3800","","","","","","","raw","minimize","4041","","","24741","","1900","0.1536589659990929","261","0.20982","3800","599.8456035990384","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la40.dzn","SATISFIED","600.115828119975","","1602","","","0","","","","","","","","","","raw","minimize","271","","","114478","","","","271","0.068678","","","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la37.dzn","SATISFIED","600.0462055460084","19394966","376","149","0","0","","","","","","","","376","271","raw","minimize","271","265","","83821","","","","271","0.066382","","599.928","0.002076","","38791151","623866810"
"gecode","jsswet","jsswet.mzn","jsswet_la19.dzn","SATISFIED","600.05116855097","11688860","1388","74","0","0","","","","","","","","1388","131","raw","minimize","131","129","","8938","","","","131","0.052698","","599.942","0.001193","","23392722","907831254"
"gecode","jsswet","jsswet.mzn","jsswet_orb04.dzn","SATISFIED","600.0510080539971","5077123","1585","71","0","0","","","","","","","","1585","131","raw","minimize","131","129","","19146","","","","131","0.052237","","599.942","0.001213","","10167885","445535496"
"chuffed","jsswet","jsswet.mzn","jsswet_swv05.dzn","SATISFIED","600.1043884800165","","1406","","","0","","","","","","","","","","raw","minimize","251","","","130377","","","","261","0.067281","","","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_swv10.dzn","SATISFIED","600.0607309239567","14880958","14379","194","0","0","","","","","","","","14379","361","raw","minimize","356","348","","111988","","","","361","0.07421","","599.921","0.002708","","29816312","357800764"
"chuffed","jsswet","jsswet.mzn","jsswet_la21.dzn","SATISFIED","600.087952650967","","2150","","","0","","","","","","","","","","raw","minimize","191","","","100444","","","","196","0.062588","","","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_swv05.dzn","OPTIMAL_SOLUTION","563.8437939910218","","10","","","0","","","3800","","","","","","","raw","minimize","4041","","","8897","","1900","0.1494169659990929","261","0.214062","3800","563.4803150250227","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la17.dzn","SATISFIED","600.0434981829603","6916887","413","82","0","0","","","","","","","","413","131","raw","minimize","131","130","","12179","","","","131","0.049069","","599.946","0.00113","","13838219","1122422741"
"chuffed","jsswet","jsswet.mzn","jsswet_la26.dzn","SATISFIED","600.0971603020444","","1355","","","0","","","","","","","","","","raw","minimize","251","","","139040","","","","261","0.067255","","","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la15.dzn","SATISFIED","600.0433094569598","4054616","105","73","0","0","","","","","","","","105","161","raw","minimize","146","146","","62441","","","","161","0.052364","","599.943","0.001251","","8109714","403232494"
"chuffed","jsswet","jsswet.mzn","jsswet_la35.dzn","SATISFIED","600.1520364269963","","880","","","0","","","","","","","","","","raw","minimize","371","","","207607","","","","391","0.081742","","","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la07.dzn","SATISFIED","600.0433807920199","8949757","586","69","0","0","","","","","","","","586","121","raw","minimize","111","111","","29441","","","","121","0.057322","","599.938","0.001098","","17905264","397930569"
"chuffed","jsswet","jsswet.mzn","jsswet_la34.dzn","SATISFIED","600.1257910389686","","461","","","0","","","","","","","","","","raw","minimize","371","","","202439","","","","391","0.087274","","","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_abz7.dzn","SATISFIED","600.0448175300262","1448266","243","199","0","0","","","","","","","","243","361","raw","minimize","356","356","","12165","","","","361","0.079594","","599.916","0.002529","","2906595","233991059"
"gecode","jsswet","jsswet.mzn","jsswet_la34.dzn","SATISFIED","600.0473867410328","9766943","298","215","0","0","","","","","","","","298","391","raw","minimize","371","368","","91003","","","","391","0.082605","","599.912","0.002688","","19538183","241064916"
"picat_sat","jsswet","jsswet.mzn","jsswet_la01.dzn","OPTIMAL_SOLUTION","97.17668228497496","","11","","","0","","","450","","","","","","","raw","minimize","521","","","127","","225","0.2998919659990929","81","0.063587","450","96.81320331897587","","","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_orb04.dzn","OPTIMAL_SOLUTION","123.75760143098887","","10","","","0","","","900","","","","","","","raw","minimize","1021","","","5092","","450","0.2763039659990929","131","0.087175","900","123.39412246498978","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la24.dzn","SATISFIED","600.1204789959593","","2510","","","0","","","","","","","","","","raw","minimize","191","","","102469","","","","196","0.060047","","","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la08.dzn","SATISFIED","600.0416378169903","4319291","166","58","0","0","","","","","","","","166","121","raw","minimize","111","111","","39274","","","","121","0.052099","","599.943","0.001078","","8639301","460281375"
"picat_sat","jsswet","jsswet.mzn","jsswet_la13.dzn","OPTIMAL_SOLUTION","224.3433481300017","","12","","","0","","","1900","","","","","","","raw","minimize","2041","","","2004","","950","0.2400209659990929","161","0.123458","1900","223.9798691640026","","","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la20.dzn","SATISFIED","600.0785591799649","","5150","","","0","","","","","","","","","","raw","minimize","131","","","56215","","","","131","0.059141","","","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la16.dzn","OPTIMAL_SOLUTION","16.439532804011833","19831","3671","64","0","0","","","","","","","","3671","131","raw","minimize","131","128","","10003","","","","131","0.051903","","15.3521","0.001157","","97556","1013376"
"gecode","jsswet","jsswet.mzn","jsswet_la36.dzn","SATISFIED","600.0552507590037","2808368","7732","164","0","0","","","","","","","","7732","271","raw","minimize","271","265","","61469","","","","271","0.066385","","599.928","0.002127","","5858691","961920944"
