"configuration","problem","model","data_file","status","time","nClauses","boolVariables","peakDepth","propagators","initTime","variables","bimanderTotalOffset","solveTime","run","error","optTime","flatTime","objective","nSolutions","bimanderCount","nogoods","failures","paths","peakMem","method","restarts","intVars","backjumps","bimanderTotalAbsoluteBalance","nClauseVariables","baseMem","nodes","flatBoolConstraints","trailMem","flatIntVars","nVariables","bimanderTotalM","flatBoolVars","bimanderTotalN","randomSeed","flatIntConstraints","evaluatedHalfReifiedConstraints","propagations","processFlatZincTime","solutions"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","SATISFIED","601.2501550698653","2807","","","","","","0","600.1419","raw","","","0.982959","3890","2","0","","","0","","minimize","","","","0","9540","","","1641","","686","1073","0","712","0","","685","90","","0.009",""
"chuffed","tablelayout","TableLayout.mzn","en-1250-1305-line158.dzn","OPTIMAL_SOLUTION","0.5228300346061587","","45376","93","318","0.055","46255","","0.057","raw","","0.057","0.171128","5018","9","","45","45","0","0.0","minimize","9","877","99","","","0.0","463","","0.28","1044","","","","","1638165027","630","","8603","",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-1283-line119.dzn","SATISFIED","603.4426484042779","19680","","","","","","0","600.1898","raw","","","2.72476","10615","2","0","","","0","","minimize","","","","0","25084","","","10114","","17526","9656","0","9329","0","","17525","16","","0.0585",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1250-1407-line1986.dzn","OPTIMAL_SOLUTION","14.36775428429246","39241","","","","","","0","11.2098","raw","","","2.55813","2125","2","0","","","0","","minimize","","","","0","70017","","","28804","","20436","16703","0","16567","0","","20435","","","0.1471",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","SATISFIED","601.6851535663009","2891","","","","","","0","600.1274","raw","","","1.44821","4224","12","0","","","0","","minimize","","","","0","12094","","","1970","","902","1055","0","902","0","","901","102","","0.0087",""
"chuffed","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","OPTIMAL_SOLUTION","0.2544457660987973","","29264","113","228","0.036","29951","","0.027","raw","","0.023","0.124828","4502","1","","26","26","0","0.0","minimize","1","685","160","","","0.0","300","","0.28","809","","","","","1638162147","450","","6967","",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-1479-line1099.dzn","OPTIMAL_SOLUTION","10.181771852076054","18324","","","","","","0","7.8034","raw","","","2.03311","1909","2","0","","","0","","minimize","","","","0","22181","","","9166","","16670","9037","0","8662","0","","16669","14","","0.0522",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","OPTIMAL_SOLUTION","7.415900856256485","45508","","","","","","0","3.0471","raw","","","3.55183","6493","6","0","","","0","","minimize","","","","0","64083","","","28424","","34049","21081","0","21073","0","","34048","","","0.1313",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","SATISFIED","603.0350525658578","17853","","","","","","0","600.1768","raw","","","2.45156","4727","2","0","","","0","","minimize","","","","0","21655","","","9576","","16518","8658","0","8737","0","","16517","8","","0.0529",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","OPTIMAL_SOLUTION","3.710946101695299","29239","","","","","","0","0.7935","raw","","","2.38095","4502","4","0","","","0","","minimize","","","","0","38924","","","17607","","23318","13802","0","13786","0","","23317","","","0.0932",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-1479-line1099.dzn","SATISFIED","602.6279753446579","18365","","","","","","0","600.1662","raw","","","2.10027","2184","2","0","","","0","","minimize","","","","0","22286","","","9166","","16670","9059","0","8662","0","","16669","14","","0.0555",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1479-line1099.dzn","OPTIMAL_SOLUTION","4.3304723631590605","18324","","","","","","0","1.9443","raw","","","2.04082","1909","10","0","","","0","","minimize","","","","0","22181","","","9166","","16670","9037","0","8662","0","","16669","14","","0.0528",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","SATISFIED","601.1972628785297","2719","","","","","","0","600.0226","raw","","","1.0239","3053","12","0","","","0","","minimize","","","","0","9235","","","1529","","650","1076","0","692","0","","649","86","","0.0075",""
"chuffed-free","tablelayout","TableLayout.mzn","en-1000-1407-line1350.dzn","OPTIMAL_SOLUTION","0.18973946757614613","","18009","50","94","0.019","18263","","0.026","raw","","0.025","0.077771","1041","6","","20","20","0","0.0","minimize","6","252","102","","","0.0","374","","0.19","186","","","","","1638166347","182","","3822","",""
"picat_sat","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","OPTIMAL_SOLUTION","48.94517386704683","","","","","","","","48.73999923095107","raw","","","0.128065","4502","6","","","","0","","minimize","","","","","","","","","","809","","","","","","450","","","0.07710963609576224",""
"chuffed-free","tablelayout","TableLayout.mzn","en-1000-1479-line1099.dzn","OPTIMAL_SOLUTION","0.25976934377104044","","25595","89","170","0.029","26058","","0.036","raw","","0.035","0.101573","1909","8","","33","33","0","0.0","minimize","8","461","260","","","0.0","781","","0.28","398","","","","","1638161667","334","","7502","",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-274-line403.dzn","OPTIMAL_SOLUTION","3.4546733386814594","10157","","","","","","0","1.2276","raw","","","1.93102","2602","15","0","","","0","","minimize","","","","0","15103","","","5715","","8193","4774","0","4717","0","","8192","12","","0.0312",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1250-1283-line119.dzn","SATISFIED","603.8760135192424","19680","","","","","","0","600.3197","raw","","","3.01583","10840","2","0","","","0","","minimize","","","","0","25084","","","10114","","17526","9656","0","9329","0","","17525","16","","0.0717",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1250-1261-line126.dzn","OPTIMAL_SOLUTION","9.346967234276235","66280","","","","","","0","4.6527","raw","","","3.72346","3500","2","0","","","0","","minimize","","","","0","122264","","","49132","","32382","27846","0","27240","0","","32381","","","0.2251",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","ERROR","","3203","","","","","","0","","raw","Unknown message kind ASCII `E'","","2.55056","","","0","","","0","","minimize","","","","0","12317","","","2625","","1028","977","0","1055","0","","1027","122","","0.0097",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","OPTIMAL_SOLUTION","22.52008633222431","35930","","","","","","0","19.4827","raw","","","2.49351","3668","2","0","","","0","","minimize","","","","0","59146","","","24277","","21684","15912","0","15404","0","","21683","","","0.0951",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","OPTIMAL_SOLUTION","214.50562639720738","12706","","","","","","0","212.5942","raw","","","1.64298","2456","2","0","","","0","","minimize","","","","0","16660","","","6714","","11140","6174","0","6042","0","","11139","12","","0.0364",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","SATISFIED","602.4896456450224","18005","","","","","","0","600.168","raw","","","1.97194","2471","2","0","","","0","","minimize","","","","0","20953","","","9157","","16972","8907","0","8764","0","","16971","10","","0.0528",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","OPTIMAL_SOLUTION","11.84539240039885","48188","","","","","","0","6.1315","raw","","","4.80275","2988","20","0","","","0","","minimize","","","","0","52993","","","24863","","46579","23724","0","23802","0","","46578","8","","0.1349",""
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","OPTIMAL_SOLUTION","33.53028385993093","","","","","","","","33.32510922383517","raw","","","0.129748","2346","8","","","","0","","minimize","","","","","","","","","","508","","","","","","374","","","0.07542663609576225",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","OPTIMAL_SOLUTION","95.40288462676108","17853","","","","","","0","92.4406","raw","","","2.56302","3102","2","0","","","0","","minimize","","","","0","21655","","","9576","","16518","8658","0","8737","0","","16517","8","","0.051",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-1305-line158.dzn","SATISFIED","602.0542651377618","4206","","","","","","0","600.1265","raw","","","1.71653","5896","2","0","","","0","","minimize","","","","0","13727","","","2302","","1154","1681","0","1094","0","","1153","162","","0.0146",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-760-310-line795.dzn","SATISFIED","601.2422381499782","2806","","","","","","0","600.1432","raw","","","0.953811","1657","2","0","","","0","","minimize","","","","0","8838","","","1760","","738","1099","0","841","0","","737","106","","0.0088",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","SATISFIED","601.6846161335707","2952","","","","","","0","600.1323","raw","","","1.43115","2748","21","0","","","0","","minimize","","","","0","12247","","","1970","","902","1087","0","902","0","","901","102","","0.0091",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1250-1479-line419.dzn","OPTIMAL_SOLUTION","6.398118121549487","35924","","","","","","0","3.4646","raw","","","2.38193","3150","2","0","","","0","","minimize","","","","0","59132","","","24277","","21684","15909","0","15404","0","","21683","","","0.1115",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","OPTIMAL_SOLUTION","30.336762600578368","42010","","","","","","0","26.8198","raw","","","2.67244","2971","2","0","","","0","","minimize","","","","0","64853","","","27213","","27980","18989","0","18483","0","","27979","","","0.1387",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","OPTIMAL_SOLUTION","5.941200809553266","40326","","","","","","0","3.033","raw","","","2.36248","1246","2","0","","","0","","minimize","","","","0","78859","","","31491","","16972","16473","0","16225","0","","16971","","","0.1255",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","OPTIMAL_SOLUTION","25.124292496591806","105179","","","","","","0","17.3903","raw","","","6.2689","2346","2","0","","","0","","minimize","","","","0","174926","","","73079","","62997","45868","0","45479","0","","62996","","","0.299",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","SATISFIED","601.691449103877","2891","","","","","","0","600.1511","raw","","","1.39849","4569","2","0","","","0","","minimize","","","","0","12094","","","1970","","902","1055","0","902","0","","901","102","","0.0083",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1250-1407-line1350.dzn","OPTIMAL_SOLUTION","4.904493861831725","22050","","","","","","0","3.2738","raw","","","1.33808","841","2","0","","","0","","minimize","","","","0","44654","","","17595","","8267","8915","0","8695","0","","8266","","","0.063",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1250-1305-line158.dzn","ERROR","","4206","","","","","","0","","raw","Unknown message kind ASCII `E'","","1.83333","","","0","","","0","","minimize","","","","0","13727","","","2302","","1154","1681","0","1094","0","","1153","162","","0.0128",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","OPTIMAL_SOLUTION","7.538889976218343","56366","","","","","","0","2.5659","raw","","","3.97906","2988","9","0","","","0","","minimize","","","","0","72229","","","33128","","46579","26710","0","26755","0","","46578","","","0.1851",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1479-line1099.dzn","OPTIMAL_SOLUTION","4.6587467500939965","18365","","","","","","0","2.3064","raw","","","1.98747","1409","11","0","","","0","","minimize","","","","0","22286","","","9166","","16670","9059","0","8662","0","","16669","14","","0.0605",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","SATISFIED","601.7977443356067","3608","","","","","","0","600.1353","raw","","","1.48905","4562","2","0","","","0","","minimize","","","","0","10201","","","2562","","1858","1326","0","1348","0","","1857","240","","0.0108",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-1407-line1986.dzn","SATISFIED","602.1226445026696","2908","","","","","","0","600.1334","raw","","","1.87557","4577","2","0","","","0","","minimize","","","","0","11954","","","2323","","614","860","0","819","0","","613","78","","0.0082",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1000-1407-line1350.dzn","OPTIMAL_SOLUTION","9.748371751978993","22051","","","","","","0","8.0672","raw","","","1.38","1041","2","0","","","0","","minimize","","","","0","44655","","","17595","","8267","8915","0","8695","0","","8266","","","0.0595",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","ERROR","","2719","","","","","","0","","raw","Unknown message kind ASCII `E'","","0.96932","","","0","","","0","","minimize","","","","0","9235","","","1529","","650","1076","0","692","0","","649","86","","0.0076",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-1479-line1099.dzn","SATISFIED","601.3978619622067","2584","","","","","","0","600.137","raw","","","1.1484","1965","2","0","","","0","","minimize","","","","0","8938","","","1494","","506","969","0","594","0","","505","70","","0.0069",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","SATISFIED","602.1381405126303","12706","","","","","","0","600.1491","raw","","","1.70251","3681","2","0","","","0","","minimize","","","","0","16660","","","6714","","11140","6174","0","6042","0","","11139","12","","0.0371",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1250-1479-line1099.dzn","SATISFIED","601.3915618127212","2625","","","","","","0","600.1289","raw","","","1.10084","1409","50","0","","","0","","minimize","","","","0","9043","","","1494","","506","991","0","594","0","","505","70","","0.0078",""
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","OPTIMAL_SOLUTION","45.56178665626794","","","","","","","","45.35661202017218","raw","","","0.10717","2971","8","","","","0","","minimize","","","","","","","","","","406","","","","","","222","","","0.09800463609576225",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","OPTIMAL_SOLUTION","3.6172849386930466","18005","","","","","","0","1.4712","raw","","","1.80131","1246","14","0","","","0","","minimize","","","","0","20953","","","9157","","16972","8907","0","8764","0","","16971","10","","0.0605",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1000-274-line403.dzn","OPTIMAL_SOLUTION","2.446935597807169","14813","","","","","","0","0.6582","raw","","","1.49899","2602","2","0","","","0","","minimize","","","","0","25228","","","10432","","8193","6567","0","6438","0","","8192","","","0.0402",""
"gecode","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","SATISFIED","1200.0891453120857","","","144","374","0.003772","863","","1199.86","raw","","","0.127362","2346","3","","","34226163","0","","minimize","0","","","","","","68452498","","","508","","","","","","374","","9481780857","","3"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1000-1407-line1986.dzn","OPTIMAL_SOLUTION","21.971995560452342","22082","","","","","","0","18.6357","raw","","","2.88687","2700","2","0","","","0","","minimize","","","","0","27495","","","11621","","20436","10744","0","10713","0","","20435","10","","0.0854",""
"chuffed","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","OPTIMAL_SOLUTION","0.17955058999359608","","18372","53","98","0.02","18643","","0.024","raw","","0.023","0.079969","1246","3","","8","8","0","0.0","minimize","3","269","25","","","0.0","166","","0.19","220","","","","","1638167878","190","","1958","",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1250-1305-line158.dzn","OPTIMAL_SOLUTION","86.06003948766738","31365","","","","","","0","82.1106","raw","","","3.16227","5018","2","0","","","0","","minimize","","","","0","37547","","","15638","","28872","15504","0","14917","0","","28871","18","","0.0878",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","OPTIMAL_SOLUTION","48.30546109005809","28351","","","","","","0","44.6086","raw","","","3.08534","3691","2","0","","","0","","minimize","","","","0","34173","","","14586","","25804","13855","0","13528","0","","25803","16","","0.0985",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1250-1261-line126.dzn","OPTIMAL_SOLUTION","11.88387179467827","66280","","","","","","0","7.1643","raw","","","3.75817","3500","2","0","","","0","","minimize","","","","0","122264","","","49132","","32382","27846","0","27240","0","","32381","","","0.218",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-274-line403.dzn","SATISFIED","602.2207790119573","3627","","","","","","0","600.1276","raw","","","1.93097","2602","43","0","","","0","","minimize","","","","0","12466","","","2932","","658","1027","0","970","0","","657","94","","0.0112",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","SATISFIED","603.3182277167216","33296","","","","","","0","600.026","raw","","","2.7418","3692","8","0","","","0","","minimize","","","","0","45060","","","19563","","25804","15800","0","15344","0","","25803","","","0.0985",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","OPTIMAL_SOLUTION","7.327198060229421","56366","","","","","","0","2.3982","raw","","","3.94002","2988","2","0","","","0","","minimize","","","","0","72229","","","33128","","46579","26710","0","26755","0","","46578","","","0.1855",""
"chuffed-free","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","OPTIMAL_SOLUTION","0.25805858988314867","","29264","113","228","0.035","29951","","0.022","raw","","0.017","0.125556","4502","1","","26","26","0","0.0","minimize","1","685","160","","","0.0","300","","0.28","809","","","","","1638162147","450","","6967","",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","SATISFIED","602.2643687566742","4255","","","","","","0","600.1422","raw","","","1.94856","3691","50","0","","","0","","minimize","","","","0","14672","","","2878","","974","1467","0","1140","0","","973","124","","0.0125",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","OPTIMAL_SOLUTION","3.4815843673422933","24264","","","","","","0","0.5","raw","","","2.45822","4502","2","0","","","0","","minimize","","","","0","27653","","","12546","","23318","11998","0","12020","0","","23317","8","","0.0764",""
"gecode","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","OPTIMAL_SOLUTION","424.5187773257494","","","117","350","0.003727","863","","424.32","raw","","","0.128348","4196","7","","","18748653","0","","minimize","0","","","","","","37497619","","","508","","","","","","374","","2129255675","","7"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1250-1407-line1350.dzn","OPTIMAL_SOLUTION","4.8290328197181225","9352","","","","","","0","3.3939","raw","","","1.24191","841","2","0","","","0","","minimize","","","","0","12168","","","4834","","8267","4555","0","4395","0","","8266","10","","0.0327",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","OPTIMAL_SOLUTION","378.0945876231417","35930","","","","","","0","375.1535","raw","","","2.39063","3668","2","0","","","0","","minimize","","","","0","59146","","","24277","","21684","15912","0","15404","0","","21683","","","0.1077",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-760-310-line795.dzn","OPTIMAL_SOLUTION","3.6615703105926514","20179","","","","","","0","1.1427","raw","","","2.10967","1605","8","0","","","0","","minimize","","","","0","24252","","","10301","","18448","9931","0","9673","0","","18447","14","","0.0622",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1000-1407-line1986.dzn","OPTIMAL_SOLUTION","16.042340191081166","39242","","","","","","0","12.9255","raw","","","2.56366","2700","2","0","","","0","","minimize","","","","0","70018","","","28804","","20436","16703","0","16567","0","","20435","","","0.1076",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","SATISFIED","602.0168223800138","3190","","","","","","0","600.131","raw","","","1.71793","3152","2","0","","","0","","minimize","","","","0","10386","","","2610","","1058","961","0","1040","0","","1057","140","","0.011",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1250-1407-line976.dzn","OPTIMAL_SOLUTION","15.506061779335141","17795","","","","","","0","13.0178","raw","","","2.12197","1708","2","0","","","0","","minimize","","","","0","21231","","","9306","","16689","8690","0","8669","0","","16688","8","","0.0541",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","ERROR","","2719","","","","","","0","","raw","Unknown message kind ASCII `E'","","0.960161","","","0","","","0","","minimize","","","","0","9235","","","1529","","650","1076","0","692","0","","649","86","","0.008",""
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1305-line158.dzn","OPTIMAL_SOLUTION","38.87395616527647","","","","","","","","38.668781529180706","raw","","","0.156203","5018","7","","","","0","","minimize","","","","","","","","","","1044","","","","","","630","","","0.048971636095762244",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-1305-line158.dzn","SATISFIED","601.9569665044546","4206","","","","","","0","600.0193","raw","","","1.76068","5211","8","0","","","0","","minimize","","","","0","13727","","","2302","","1154","1681","0","1094","0","","1153","162","","0.0124",""
"picat_sat","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","OPTIMAL_SOLUTION","36.39570780284703","","","","","","","","36.190533166751266","raw","","","0.134519","6493","8","","","","0","","minimize","","","","","","","","","","908","","","","","","642","","","0.07065563609576225",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1250-1407-line1350.dzn","OPTIMAL_SOLUTION","3.3775947159156203","9352","","","","","","0","1.9375","raw","","","1.23889","841","2","0","","","0","","minimize","","","","0","12168","","","4834","","8267","4555","0","4395","0","","8266","10","","0.0324",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-760-310-line795.dzn","SATISFIED","601.2285013915971","2806","","","","","","0","600.1353","raw","","","0.946869","3505","2","0","","","0","","minimize","","","","0","8838","","","1760","","738","1099","0","841","0","","737","106","","0.0076",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1250-1283-line119.dzn","OPTIMAL_SOLUTION","18.225239753723145","24634","","","","","","0","15.2052","raw","","","2.52607","9840","75","0","","","0","","minimize","","","","0","36079","","","15100","","17526","11585","0","11129","0","","17525","","","0.0658",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1000-1274-line521.dzn","ERROR","","3079","","","","","","0","","raw","Unknown message kind ASCII `E'","","1.44383","","","0","","","0","","minimize","","","","0","8656","","","1988","","2114","1328","0","1370","0","","2113","270","","0.009",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","OPTIMAL_SOLUTION","10.097606120631099","48188","","","","","","0","4.2697","raw","","","4.90093","2988","12","0","","","0","","minimize","","","","0","52993","","","24863","","46579","23724","0","23802","0","","46578","8","","0.1572",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1000-1407-line1986.dzn","SATISFIED","602.1959176175296","2890","","","","","","0","600.1536","raw","","","1.91994","2949","2","0","","","0","","minimize","","","","0","11907","","","2323","","614","850","0","819","0","","613","78","","0.0087",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-1274-line521.dzn","SATISFIED","601.7237211447209","3079","","","","","","0","600.161","raw","","","1.39906","5605","2","0","","","0","","minimize","","","","0","8656","","","1988","","2114","1328","0","1370","0","","2113","270","","0.0092",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-1479-line1099.dzn","OPTIMAL_SOLUTION","3.7667162297293544","29087","","","","","","0","1.2954","raw","","","2.00903","1909","6","0","","","0","","minimize","","","","0","49268","","","19922","","16670","12803","0","12281","0","","16669","","","0.094",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","OPTIMAL_SOLUTION","4.751062515191734","29239","","","","","","0","1.7257","raw","","","2.48753","4502","2","0","","","0","","minimize","","","","0","38924","","","17607","","23318","13802","0","13786","0","","23317","","","0.085",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","SATISFIED","603.2655847650021","24264","","","","","","0","600.2069","raw","","","2.51453","7602","2","0","","","0","","minimize","","","","0","27653","","","12546","","23318","11998","0","12020","0","","23317","8","","0.0689",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1250-1479-line419.dzn","SATISFIED","601.2588049396873","2848","","","","","","0","600.1226","raw","","","1.01657","3217","15","0","","","0","","minimize","","","","0","9645","","","1641","","686","1095","0","712","0","","685","90","","0.0077",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","ERROR","","2952","","","","","","0","","raw","Unknown message kind ASCII `E'","","1.52806","","","0","","","0","","minimize","","","","0","12247","","","1970","","902","1087","0","902","0","","901","102","","0.0093",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1407-line1350.dzn","SATISFIED","601.0851469868794","1613","","","","","","0","600.1261","raw","","","0.86457","2047","2","0","","","0","","minimize","","","","0","6053","","","1103","","272","555","0","405","0","","271","40","","0.0041",""
