"configuration","problem","model","data_file","status","time","nClauses","boolVariables","peakDepth","propagators","initTime","variables","bimanderTotalOffset","solveTime","run","error","optTime","flatTime","objective","nSolutions","bimanderCount","nogoods","failures","paths","peakMem","method","restarts","intVars","backjumps","bimanderTotalAbsoluteBalance","nClauseVariables","baseMem","nodes","flatBoolConstraints","trailMem","flatIntVars","nVariables","bimanderTotalM","flatBoolVars","bimanderTotalN","randomSeed","flatIntConstraints","evaluatedHalfReifiedConstraints","propagations","processFlatZincTime","solutions"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1479-line1099.dzn","SATISFIED","602.5816905191168","18324","","","","","","0","600.1753","raw","","","2.050209","2309","2","0","","","0","","minimize","","","","0","22181","","","9166","","16670","9037","0","8662","0","","16669","14","","0.0523",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-1274-line521.dzn","OPTIMAL_SOLUTION","5.780800987966359","39836","","","","","","0","1.3528","raw","","","3.5728","5378","7","0","","","0","","minimize","","","","0","42518","","","20276","","39184","19797","0","19839","0","","39183","6","","0.123",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1479-line1099.dzn","OPTIMAL_SOLUTION","15.05123254377395","2625","","","","","","0","13.7916","raw","","","1.10189","1409","30","0","","","0","","minimize","","","","0","9043","","","1494","","506","991","0","594","0","","505","70","","0.0077",""
"chuffed","tablelayout","TableLayout.mzn","en-1250-1479-line419.dzn","OPTIMAL_SOLUTION","0.26750055979937315","","31758","74","134","0.035","32149","","0.039","raw","","0.036","0.109484","3150","4","","34","34","0","0.0","minimize","4","389","281","","","0.0","609","","0.19","442","","","","","1638165477","262","","5868","",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","OPTIMAL_SOLUTION","5.474946092814207","42010","","","","","","0","1.9884","raw","","","2.68872","2971","6","0","","","0","","minimize","","","","0","64853","","","27213","","27980","18989","0","18483","0","","27979","","","0.1113",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","OPTIMAL_SOLUTION","351.7708670385182","35930","","","","","","0","348.7236","raw","","","2.51208","3668","2","0","","","0","","minimize","","","","0","59146","","","24277","","21684","15912","0","15404","0","","21683","","","0.0986",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","SATISFIED","604.2245625266805","28351","","","","","","0","600.256","raw","","","3.37744","4566","2","0","","","0","","minimize","","","","0","34173","","","14586","","25804","13855","0","13528","0","","25803","16","","0.0877",""
"gecode","tablelayout","TableLayout.mzn","en-1000-1615-line479.dzn","SATISFIED","1200.0568751897663","","","173","610","0.004376","730","","1199.9","raw","","","0.096014","2531","2","","","36698969","0","","minimize","0","","","","","","73398202","","","577","","","","","","610","","8539308876","","2"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-1407-line1350.dzn","SATISFIED","601.0737080434337","1631","","","","","","0","600.1229","raw","","","0.842771","2241","2","0","","","0","","minimize","","","","0","6100","","","1103","","272","565","0","405","0","","271","40","","0.0047",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","OPTIMAL_SOLUTION","12.593943320214748","64525","","","","","","0","6.1883","raw","","","5.17772","2346","2","0","","","0","","minimize","","","","0","69488","","","32518","","62997","32112","0","31927","0","","62996","12","","0.2029",""
