"configuration","problem","model","data_file","status","time","run","objective"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","2.04","raw","3177"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","2.36","raw","3160"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","2.45","raw","3153"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","2.6","raw","3152"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","2.73","raw","3116"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","2.84","raw","3102"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","3.35","raw","3102"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","","40.12","raw","6493"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","","40.16","raw","6493"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","","603.05","raw","5291"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","","603.15","raw","5291"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","","601.61","raw","4562"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","","601.65","raw","4562"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","","1.97","raw","1546"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","","2.21","raw","1516"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","","2.3","raw","1514"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","","2.38","raw","1470"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","","2.47","raw","1446"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","","2.56","raw","1413"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","","2.66","raw","1370"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","","2.75","raw","1296"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","","2.83","raw","1283"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","","2.93","raw","1277"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","","3.02","raw","1275"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","","3.11","raw","1268"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","","3.19","raw","1246"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","","3.39","raw","1246"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1250-1479-line419.dzn","","11.49","raw","3150"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1250-1479-line419.dzn","","11.52","raw","3150"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","","603.06","raw","5841"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","","603.18","raw","5841"
"picat_sat","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","4.19","raw","7493"
"picat_sat","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","4.91","raw","7417"
"picat_sat","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","7.63","raw","4073"
"picat_sat","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","12.89","raw","3330"
"picat_sat","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","18.23","raw","3165"
"picat_sat","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","20.89","raw","3110"
"picat_sat","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","31.1","raw","3104"
"picat_sat","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","33.68","raw","3102"
"chuffed-free","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","","0.18","raw","4502"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","","4.96","raw","1246"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","","4.98","raw","1246"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1000-274-line403.dzn","","2.2","raw","2602"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1000-274-line403.dzn","","2.21","raw","2602"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","","2.86","raw","10112"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","","2.9","raw","8933"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","","2.93","raw","8103"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","","2.98","raw","7888"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","","3.01","raw","7216"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","","3.06","raw","6994"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","","4.29","raw","6948"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","","602.86","raw","6948"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","602.68","raw","4727"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","602.74","raw","4727"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","25.79","raw","2346"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","25.84","raw","2346"
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","","15.84","raw","10787"
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","","16.11","raw","9226"
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","","18.33","raw","4825"
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","","20.89","raw","3356"
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","","25.17","raw","3031"
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","","32.83","raw","2983"
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","","37.59","raw","2972"
"picat_sat","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","","45.51","raw","2971"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","10.16","raw","3102"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","10.18","raw","3102"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1000-1274-line521.dzn","","14.64","raw","5378"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1000-1274-line521.dzn","","14.67","raw","5378"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1407-line976.dzn","","602.04","raw","3758"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1407-line976.dzn","","602.11","raw","3758"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","","29.74","raw","2971"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","","29.77","raw","2971"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-1479-line1099.dzn","","11.38","raw","1909"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-1479-line1099.dzn","","11.4","raw","1909"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","","15.96","raw","2971"
