"configuration","problem","model","data_file","status","time","nClauseVariables","error","bimanderTotalOffset","bimanderTotalN","bimanderCount","paths","method","flatBoolConstraints","nVariables","flatBoolVars","evaluatedReifiedConstraints","run","bimanderTotalM","solveTime","bimanderTotalAbsoluteBalance","flatTime","nSolutions","processFlatZincTime","nClauses"
"mzn-sat-glucose-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=22;m=22;holes={}","UNKNOWN","1201.3502318700776","","","","","","0","satisfy","3246177","","236150","47204","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","","","","128.211999","","",""
"mzn-sat-glucose-binary-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=16;m=16;holes={}","UNKNOWN","1201.037145732902","389041","","0","0","0","0","satisfy","62558","7099","9264","1771","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1193.1628","0","6.95642","0","0.2027","57224"
"mzn-sat-clasp-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","SATISFIED","8.272085750009865","387398","","0","0","0","0","satisfy","141256","10322","10165","4640","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","0.3321","0","7.0024","1","0.3609","139789"
"mzn-sat-clasp-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","SATISFIED","74.05388046102598","2103313","","0","0","0","0","satisfy","486657","65015","39062","12556","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","50.2867","0","19.9899","1","1.8724","757481"
"mzn-sat-glucose-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=22;m=22;holes={}","ERROR","","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","","","","","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","","","","","","",""
"mzn-sat-clasp-binary-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","UNKNOWN","1200.5570807859767","191054","","0","0","0","0","satisfy","33730","3924","5138","987","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1197.0587","0","3.04935","0","0.1025","30835"
"mzn-sat-lingeling-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=20;m=20;holes={}","UNKNOWN","1201.3116558459587","","","","","","0","satisfy","2661406","","163454","35710","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","","","","130.207","","",""
"mzn-sat-glucose-direct-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","UNKNOWN","1200.663624681998","116304","","0","0","0","0","satisfy","38130","5957","5673","13714","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1195.6507","0","4.46659","0","0.1166","40373"
"mzn-sat-lingeling-direct-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","UNKNOWN","1201.0345342620276","228162","","0","0","0","0","satisfy","75121","11144","10508","28479","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1190.2957","0","9.82495","0","0.2393","79392"
"mzn-sat-clasp-direct+order-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","UNKNOWN","1201.0302382300142","233160","","0","0","0","0","satisfy","82171","12351","12353","28479","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1189.0183","0","11.1018","0","0.2484","81891"
"mzn-sat-clasp-binary-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=16;m=16;holes={}","UNKNOWN","1201.0026283089537","389041","","0","0","0","0","satisfy","62558","7099","9264","1771","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1193.5897","0","6.52115","0","0.2077","57224"
"mzn-sat-glucose-order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","UNKNOWN","1201.1514777550474","","","","","","0","satisfy","317179","","27580","36179","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","","","","16.9062","","",""
