"configuration","problem","model","data_file","status","time","run","objective"
"chuffed","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","3.97","raw","1168"
"chuffed","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","3.98","raw","1221"
"chuffed","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","4.32","raw","1303"
"chuffed","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","113.09","raw","1308"
"chuffed","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","113.79","raw","1347"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_easy_5.dzn","","3.72","raw","310"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_easy_5.dzn","","7.14","raw","334"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_easy_5.dzn","","11.38","raw","436"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_easy_5.dzn","","23.16","raw","445"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_medium_1.dzn","","7.37","raw","923"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_medium_1.dzn","","17.18","raw","1097"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_medium_1.dzn","","26.52","raw","1382"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_medium_1.dzn","","36.31","raw","1458"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_medium_1.dzn","","45.5","raw","1475"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_medium_1.dzn","","60.66","raw","1481"
"chuffed","orienteering","orienteering-control.mzn","orienteering_easy_4.dzn","","0.09","raw","368"
"chuffed","orienteering","orienteering-control.mzn","orienteering_easy_4.dzn","","0.1","raw","428"
"chuffed","orienteering","orienteering-control.mzn","orienteering_easy_4.dzn","","0.13","raw","439"
"chuffed","orienteering","orienteering-control.mzn","orienteering_easy_4.dzn","","0.16","raw","474"
"chuffed","orienteering","orienteering-control.mzn","orienteering_easy_4.dzn","","0.37","raw","485"
"chuffed","orienteering","orienteering-control.mzn","orienteering_easy_4.dzn","","1.09","raw","498"
"chuffed","orienteering","orienteering-control.mzn","orienteering_easy_4.dzn","","1.1","raw","501"
"chuffed","orienteering","orienteering-control.mzn","orienteering_easy_4.dzn","","1.89","raw","515"
